Carimbo de data/hora,"Na sua opinião, qual o problema mais grave de Salvador?",Em quais fontes de informação você se baseou para responder
01/06/2022 22:31:38,Segurança/Violência,"Televisão, Internet, Grupos de WhatsApp"
01/06/2022 22:32:59,Segurança/Violência,"Televisão, Internet, Grupos de WhatsApp"
01/06/2022 22:33:03,Segurança/Violência,Televisão
01/06/2022 22:33:21,Segurança/Violência,"Televisão, Internet, Grupos de WhatsApp"
01/06/2022 22:34:39,Segurança/Violência,Televisão
01/06/2022 22:35:13,Segurança/Violência,"Minha vivência , notícias etc. "
01/06/2022 22:35:39,Alimentação/fome/pobreza,Internet
01/06/2022 22:35:45,Segurança/Violência,Televisão
01/06/2022 22:36:34,Alimentação/fome/pobreza,"Internet, Grupos de WhatsApp, Vivência diária. Durante a pandemia, observei de maneira significativa o número de pessoas em situação de rua."
01/06/2022 22:36:35,Segurança/Violência,"Televisão, Internet, Grupos de WhatsApp"
01/06/2022 22:36:40,Segurança/Violência,"Televisão, Internet, Grupos de WhatsApp"
01/06/2022 22:36:52,Segurança/Violência,"Televisão, Internet"
01/06/2022 22:37:58,Segurança/Violência,"Televisão, Internet"
01/06/2022 22:38:02,Segurança/Violência,"Televisão, Rádio AM, Rádio FM, Internet"
01/06/2022 22:38:55,Segurança/Violência,"Televisão, Internet, Grupos de WhatsApp"
01/06/2022 22:40:44,Segurança/Violência,Internet
01/06/2022 22:41:03,Segurança/Violência,"Televisão, Internet, Grupos de WhatsApp"
01/06/2022 22:41:18,Segurança/Violência,Internet
01/06/2022 22:41:54,Segurança/Violência,Televisão
01/06/2022 22:42:23,Segurança/Violência,"Televisão, Internet"
01/06/2022 22:43:11,Segurança/Violência,"Televisão, Internet, Grupos de WhatsApp"
01/06/2022 22:44:41,Saúde,"Na ida aos postos e upas, nas emergencias o povo sem regulação "
01/06/2022 22:45:05,Segurança/Violência,Televisão
01/06/2022 22:45:32,Segurança/Violência,"Televisão, Internet"
01/06/2022 22:45:47,Segurança/Violência,Televisão
01/06/2022 22:46:16,Segurança/Violência,Internet
01/06/2022 22:48:38,Segurança/Violência,"Televisão, Internet"
01/06/2022 22:49:34,Segurança/Violência,"Televisão, Internet, Grupos de WhatsApp, Convívio social "
01/06/2022 22:51:16,Segurança/Violência,"Televisão, Internet, Grupos de WhatsApp"
01/06/2022 22:51:55,Segurança/Violência,Internet
01/06/2022 22:53:42,Educação,"Internet, Estudos academicos"
01/06/2022 22:57:06,Saneamento básico,Internet
01/06/2022 22:57:58,Segurança/Violência,Televisão
01/06/2022 22:58:07,Educação,Televisão
01/06/2022 22:58:46,Educação,Internet
01/06/2022 23:02:43,Segurança/Violência,Televisão
01/06/2022 23:09:11,Saúde,"Televisão, Internet"
01/06/2022 23:12:23,Segurança/Violência,"Televisão, Rádio FM, Internet"
01/06/2022 23:16:58,Educação,"relatos de estudantes, pais"
01/06/2022 23:20:45,Saúde,Televisão
01/06/2022 23:20:46,Segurança/Violência,"Televisão, Internet, Grupos de WhatsApp"
01/06/2022 23:23:16,Segurança/Violência,Televisão
01/06/2022 23:35:52,Alimentação/fome/pobreza,"Televisão, Rádio FM, Internet, Jornal"
02/06/2022 00:29:42,Transporte público,Experiência pessoal
02/06/2022 00:30:07,Segurança/Violência,"Televisão, Grupos de WhatsApp"
02/06/2022 00:52:03,Segurança/Violência,"Televisão, Rádio AM, Rádio FM, Internet, Vivência "
02/06/2022 00:52:37,Segurança/Violência,Internet
02/06/2022 02:21:43,Segurança/Violência,"Televisão, Internet"
02/06/2022 06:05:05,Segurança/Violência,Televisão
02/06/2022 06:16:21,Segurança/Violência,Televisão
02/06/2022 06:24:01,Alimentação/fome/pobreza,Pelos dados do IBGE e leituras dos jornais 
02/06/2022 07:31:07,Segurança/Violência,Televisão
02/06/2022 08:56:36,Segurança/Violência,"Televisão, Internet"
02/06/2022 09:30:40,Alimentação/fome/pobreza,Internet
02/06/2022 09:36:43,Segurança/Violência,"Televisão, Internet"
02/06/2022 09:47:23,Segurança/Violência,"Televisão, Internet"
02/06/2022 10:53:52,Alimentação/fome/pobreza,"Televisão, Internet"
02/06/2022 11:39:27,Educação,Parentes e amigos que trabalham na área.
02/06/2022 12:01:34,Saúde,Rádio FM
02/06/2022 12:07:58,Saúde,"Televisão, E"
02/06/2022 12:10:24,Educação,Televisão
02/06/2022 12:35:37,Saúde,Internet
02/06/2022 13:18:04,Segurança/Violência,"Televisão, Internet"
02/06/2022 14:04:31,Alimentação/fome/pobreza,"Televisão, Rádio FM, Através das pesquisas do IBGE e informações dos jornais "
02/06/2022 14:45:39,Segurança/Violência,"Televisão, Rádio AM, Internet"
02/06/2022 14:45:53,Segurança/Violência,Televisão
02/06/2022 16:26:07,Segurança/Violência,"Televisão, Internet, Vivência"
02/06/2022 18:20:27,Segurança/Violência,"Televisão, Internet"
02/06/2022 18:58:25,Transporte público,Internet
02/06/2022 19:24:41,Transporte público,"Televisão, Rádio FM, Internet, Grupos de WhatsApp"
02/06/2022 19:32:36,Segurança/Violência,"Televisão, Internet, Grupos de WhatsApp"
02/06/2022 19:50:36,Educação,"Televisão, Internet"
02/06/2022 20:57:46,Segurança/Violência,"Televisão, Internet"
02/06/2022 22:41:14,Segurança/Violência,Televisão
03/06/2022 15:14:54,Transporte público,Televisão
